celsius,time
27.937,0.62
28.125,2.53
28.687,4.36
29.5,6.2
30.25,8.04
30.875,9.8
31.437,11.56
31.937,13.32
32.437,15.08
32.812,16.92
33.187,18.68
33.5,20.52
33.75,22.36
34,24.2
34.25,26.04
34.437,27.88
34.625,29.72
34.75,31.56
34.875,33.4
35,35.24
35.125,37.08
35.25,38.92
35.312,40.76
35.375,42.6
35.5,44.44
35.5,46.28
35.562,48.12
35.625,49.88
35.687,51.72
35.75,53.56
35.812,55.4
35.812,57.24
35.875,59.08
35.875,60.84
