celsius,time
27.562,0.67
27.687,2.59
28.812,4.41
31.062,6.25
33.187,8.09
35.125,9.93
36.812,11.77
38.187,13.61
39.375,15.37
40.437,17.13
41.312,18.97
42.062,20.81
42.687,22.65
43.187,24.41
43.687,26.25
44.062,28.09
44.437,29.85
44.687,31.61
45,33.45
45.187,35.29
45.437,37.13
45.625,38.89
45.812,40.73
45.937,42.49
46.125,44.33
46.25,46.17
46.375,47.93
46.437,49.77
46.562,51.61
46.625,53.45
46.687,55.21
46.75,56.97
46.812,58.81
46.875,60.57
