celsius,time
27,0.62
27.25,2.5
29.062,4.33
31.625,6.17
34.187,8.01
36.5,9.85
38.562,11.69
40.312,13.45
42,15.29
43.375,17.13
44.625,18.97
45.687,20.81
46.687,22.65
47.5,24.49
48.25,26.33
48.875,28.17
49.437,29.94
50,31.78
50.5,33.62
50.875,35.45
51.312,37.3
51.625,39.13
51.937,40.98
52.187,42.82
52.375,44.66
52.687,46.5
52.937,48.34
53.187,50.18
53.375,52.02
53.562,53.86
53.75,55.7
53.937,57.54
54.125,59.38
54.312,61.22
